#time,	NE,	NI
282	0.2322	0.0156
283	0.2344	0.0048
284	0.0648	0.0034
285	0	0.0004
286	0.0052	0.0062
287	0.0196	0
288	0.344	0.03
289	0.595	0.1526
290	0.1648	0.0306
291	0.1958	0.0218
292	0.1872	0.0194
293	0.1382	0.0196
294	0.107	0.0258
295	0.0036	0.0082
296	0.0294	0.0072
297	0.5846	0.0294
298	0.697	0.1716
299	0.3488	0.041
300	0.0986	0.0004
301	0.1014	0.001
302	0.169	0.0182
303	0.0916	0.0268
304	0.0002	0.0002
305	0.0304	0.0002
306	0.5906	0.0528
307	0.6762	0.1534
308	0.1394	0.0212
309	0.063	0.0044
310	0.102	0.0136
311	0.109	0.0208
312	0.0254	0.0106
313	0.0004	0.0002
314	0.042	0.0106
315	0.598	0.0276
316	0.6396	0.1584
317	0.1092	0.015
318	0.1056	0.0156
319	0.1434	0.0244
320	0.0988	0.0148
321	0.0014	0.0096
322	0.0064	0.012
323	0.0292	0
324	0.62	0.0458
325	0.6224	0.1534
326	0.1066	0.0212
327	0.1452	0.0268
328	0.14	0.02
329	0.1024	0.0188
330	0.0762	0.0224
331	0.0398	0.0184
332	0.034	0.0002
333	0.565	0.0284
334	0.619	0.1468
335	0.2412	0.0378
336	0.0844	0.0126
337	0.0768	0.0104
338	0.114	0.021
339	0.0878	0.0384
340	0.0008	0.0002
341	0.0372	0.0004
342	0.5446	0.034
343	0.578	0.1422
344	0.1052	0.0206
345	0.0754	0.0176
346	0.1228	0.0284
347	0.229	0.0436
348	0.1148	0.0338
349	0.0008	0
350	0.0418	0.0002
351	0.5326	0.0412
352	0.5508	0.1356
353	0.0334	0.0072
354	0.07	0.016
355	0.159	0.0346
356	0.2198	0.0456
357	0.0946	0.0292
358	0.0014	0
359	0.0488	0.0002
360	0.512	0.033
361	0.4962	0.1238
362	0.0552	0.0144
363	0.1258	0.0304
364	0.1964	0.044
365	0.207	0.0474
366	0.0416	0.0228
367	0.0006	0.0006
368	0.0598	0.0002
369	0.4756	0.0344
370	0.4478	0.1132
371	0.0756	0.0202
372	0.1602	0.0378
373	0.2628	0.0452
374	0.2528	0.0458
375	0.0008	0
376	0.0012	0.0006
377	0.0674	0
378	0.439	0.0518
379	0.395	0.1014
380	0.1188	0.0306
381	0.1946	0.051
382	0.2716	0.0474
383	0.2376	0.04
384	0.0002	0.0002
385	0.0008	0
386	0.0774	0.0002
387	0.401	0.0392
388	0.366	0.095
389	0.1362	0.0298
390	0.2306	0.0508
391	0.2654	0.0492
392	0.2056	0.0352
393	0.0006	0.0002
394	0.0006	0
395	0.087	0.0002
396	0.3856	0.0416
397	0.345	0.0888
398	0.167	0.0212
399	0.2668	0.0588
400	0.2666	0.0498
401	0.1772	0.0296
402	0.0002	0.0002
403	0.0006	0
404	0.094	0.0006
405	0.3698	0.0428
406	0.3252	0.0836
407	0.2104	0.0376
408	0.2948	0.0648
409	0.2722	0.0524
410	0.1488	0.0242
411	0.0004	0.001
412	0.0004	0.0002
413	0.1004	0
414	0.351	0.0438
415	0.2712	0.0644
416	0.2432	0.0252
417	0.4028	0.0764
418	0.4304	0.0506
419	0.0606	0
420	0.001	0
421	0.0006	0.0002
422	0.103	0.0004
423	0.3322	0.0404
424	0.2688	0.0628
425	0.2486	0.0266
426	0.4334	0.081
427	0.4722	0.047
428	0.0592	0.0006
429	0.0012	0.0002
430	0.0012	0.0002
431	0.088	0.001
432	0.3106	0.0594
433	0.1718	0.059
434	0.2748	0.0278
435	0.4426	0.082
436	0.4326	0.0434
437	0.0742	0.0002
438	0.0006	0
439	0.0008	0.0002
440	0.0928	0.0082
441	0.2774	0.0536
442	0.1702	0.037
443	0.2918	0.0284
444	0.4034	0.0882
445	0.3042	0.038
446	0.0408	0.0046
447	0.0136	0.0046
448	0.0394	0.0124
449	0.1734	0.0068
450	0.282	0.0552
451	0.1718	0.0362
452	0.3326	0.0292
453	0.4102	0.091
454	0.285	0.0306
455	0.0022	0
456	0.0218	0.007
457	0.0434	0.013
458	0.1716	0.0054
459	0.2988	0.0584
460	0.1758	0.0366
461	0.3432	0.03
462	0.4496	0.0986
463	0.3428	0.027
464	0.004	0.0006
465	0.0108	0.0076
466	0.006	0.0078
467	0.1706	0.008
468	0.2708	0.0516
469	0.1786	0.0368
470	0.3666	0.0316
471	0.4204	0.1
472	0.3216	0.0236
473	0.0064	0
474	0.0012	0.0002
475	0.0106	0.0002
476	0.1626	0.0148
477	0.236	0.0544
478	0.1536	0.0282
479	0.3972	0.0378
480	0.4708	0.11
481	0.2078	0.0002
482	0.0026	0.0004
483	0.001	0.0002
484	0.0006	0.0004
485	0.1402	0.0074
486	0.2472	0.0462
487	0.1824	0.0364
488	0.4854	0.032
489	0.49	0.1062
490	0.2378	0.005
491	0.0254	0.0052
492	0.017	0.0052
493	0.042	0.0118
494	0.0686	0.001
495	0.2424	0.0454
496	0.1886	0.0374
497	0.4986	0.033
498	0.5696	0.1138
499	0.3022	0.0004
500	0.0704	0.0002
501	0.0164	0.0104
502	0.0034	0.0102
503	0.085	0.0094
504	0.2062	0.0348
505	0.191	0.0378
506	0.5048	0.0334
507	0.4896	0.1098
508	0.1936	0.0054
509	0.059	0.012
510	0.0196	0.0058
511	0.058	0.0156
512	0.0742	0.0206
513	0.1484	0.0316
514	0.1634	0.0282
515	0.4812	0.0336
516	0.4438	0.1066
517	0.0682	0.007
518	0.0206	0.007
519	0.038	0.0122
520	0.0858	0.0212
521	0.1512	0.0222
522	0.2152	0.0388
523	0.1998	0.0382
524	0.473	0.0346
525	0.5396	0.1042
526	0.1738	0.001
527	0.015	0.0054
528	0.054	0.0156
529	0.086	0.0214
530	0.1442	0.0224
531	0.21	0.0368
532	0.2052	0.0396
533	0.4692	0.0444
534	0.4818	0.099
535	0.1182	0.0008
536	0.0308	0.0066
537	0.0738	0.0178
538	0.0886	0.022
539	0.1342	0.0224
540	0.2054	0.0354
541	0.211	0.039
542	0.4618	0.0364
543	0.4376	0.094
544	0.0824	0.0048
545	0.0544	0.0128
546	0.0874	0.0212
547	0.0886	0.0226
548	0.1304	0.0224
549	0.2004	0.034
550	0.215	0.0394
551	0.4366	0.037
552	0.3848	0.0882
553	0.0618	0.0074
554	0.0788	0.0184
555	0.091	0.0218
556	0.0872	0.0222
557	0.1222	0.0298
558	0.1666	0.0246
559	0.219	0.04
560	0.4166	0.0374
561	0.3496	0.0828
562	0.0712	0.0132
563	0.0928	0.0214
564	0.0902	0.0224
565	0.1186	0.022
566	0.1206	0.0298
567	0.1616	0.0234
568	0.223	0.0402
569	0.3966	0.0386
570	0.3206	0.078
571	0.0764	0.0178
572	0.0944	0.0222
573	0.0902	0.0222
574	0.1174	0.0222
575	0.1122	0.029
576	0.1578	0.0222
577	0.2276	0.0402
578	0.3818	0.0392
579	0.3082	0.0764
580	0.0882	0.0204
581	0.0964	0.0222
582	0.0916	0.022
583	0.1168	0.0222
584	0.1094	0.0288
585	0.1532	0.0336
586	0.1794	0.0278
587	0.3754	0.0398
588	0.3112	0.0754
589	0.0948	0.022
590	0.095	0.0228
591	0.0906	0.022
592	0.117	0.0224
593	0.152	0.0282
594	0.1522	0.0326
595	0.182	0.0282
596	0.373	0.04
597	0.3118	0.0754
598	0.098	0.0232
599	0.0916	0.0218
600	0.0928	0.022
601	0.1148	0.0226
602	0.1476	0.028
603	0.1494	0.0316
604	0.1836	0.0284
605	0.3742	0.0404
606	0.313	0.0752
607	0.0988	0.0228
608	0.0916	0.0222
609	0.0936	0.0222
610	0.1136	0.0226
611	0.1416	0.028
612	0.1452	0.0308
613	0.185	0.0282
614	0.3774	0.041
615	0.3172	0.0758
616	0.1024	0.0234
617	0.0928	0.0224
618	0.0946	0.0222
619	0.1124	0.0228
620	0.1354	0.0274
621	0.1388	0.0294
622	0.1878	0.0282
623	0.3798	0.0412
624	0.317	0.0756
625	0.1044	0.024
626	0.095	0.0222
627	0.096	0.023
628	0.1122	0.0226
629	0.1298	0.0274
630	0.134	0.0278
631	0.188	0.0282
632	0.381	0.0414
633	0.3218	0.0762
634	0.1044	0.0248
635	0.0964	0.0224
636	0.0966	0.023
637	0.1124	0.0232
638	0.1226	0.0264
639	0.1302	0.027
640	0.1896	0.0284
641	0.3828	0.042
642	0.3228	0.076
643	0.1096	0.0256
644	0.0978	0.0224
645	0.099	0.023
646	0.1092	0.023
647	0.1184	0.0262
648	0.1254	0.0262
649	0.1892	0.0284
650	0.3846	0.0512
651	0.328	0.0766
652	0.1118	0.0258
653	0.0986	0.023
654	0.0986	0.0228
655	0.1076	0.0232
656	0.1118	0.0254
657	0.1234	0.026
658	0.1894	0.0276
659	0.3888	0.0428
660	0.3312	0.0768
661	0.1162	0.0268
662	0.0994	0.0228
663	0.0988	0.0232
664	0.1044	0.0224
665	0.1088	0.026
666	0.1178	0.0246
667	0.1904	0.0274
668	0.3906	0.043
669	0.3346	0.0772
670	0.1194	0.0276
671	0.1002	0.0234
672	0.0956	0.0224
673	0.1038	0.0232
674	0.1038	0.0252
675	0.1118	0.0234
676	0.1914	0.0276
677	0.3942	0.043
678	0.3416	0.0778
679	0.125	0.0288
680	0.099	0.0226
681	0.0986	0.0224
682	0.104	0.023
683	0.0964	0.0246
684	0.107	0.0222
685	0.1908	0.0272
686	0.3962	0.0432
687	0.348	0.0784
688	0.129	0.0298
689	0.0982	0.023
690	0.0976	0.023
691	0.1022	0.0228
692	0.09	0.024
693	0.0992	0.0214
694	0.1904	0.027
695	0.399	0.0434
696	0.3546	0.085
697	0.1086	0.0306
698	0.1016	0.023
699	0.0988	0.0226
700	0.1006	0.0228
701	0.0848	0.0228
702	0.0556	0.021
703	0.1726	0.0222
704	0.4266	0.0534
705	0.3588	0.0852
706	0.1114	0.0256
707	0.1006	0.0228
708	0.1022	0.0228
709	0.0966	0.0232
710	0.0772	0.0222
711	0.0332	0.0206
712	0.155	0.0142
713	0.4358	0.0438
714	0.3864	0.0914
715	0.1352	0.0328
716	0.121	0.0288
717	0.1016	0.0228
718	0.0924	0.0226
719	0.0822	0.022
720	0.084	0.0218
721	0.1802	0.0234
722	0.4322	0.0502
723	0.3496	0.0852
724	0.1012	0.023
725	0.1038	0.0232
726	0.1	0.0226
727	0.0906	0.022
728	0.0782	0.0214
729	0.0484	0.021
730	0.1722	0.0136
731	0.4562	0.0492
732	0.3568	0.09
733	0.1056	0.0274
734	0.1042	0.0266
735	0.1002	0.0222
736	0.0878	0.0218
