#time,	NE,	NI
279	0.1178	0.0324
280	0.038	0.0004
281	0.1162	0.0238
282	0.162	0.0344
283	0.1172	0.027
284	0.1522	0.028
285	0.2174	0.0516
286	0.1682	0.0368
287	0.2146	0.0532
288	0.0638	0.0074
289	0.1906	0.0478
290	0.0454	0.003
291	0.1096	0.0272
292	0.026	0.001
293	0.0872	0.0222
294	0.0642	0.0136
295	0.1526	0.0326
296	0.1946	0.0414
297	0.1722	0.0398
298	0.2306	0.0542
299	0.1298	0.025
300	0.1192	0.0296
301	0.0072	0.0002
302	0.0312	0.0026
303	0.0608	0.0152
304	0.1574	0.0308
305	0.1532	0.0306
306	0.3116	0.0706
307	0.169	0.035
308	0.1198	0.0298
309	0.0064	0.0016
310	0.0008	0.0014
311	0.0306	0.007
312	0.1234	0.0288
313	0.1236	0.0222
314	0.1762	0.039
315	0.1226	0.0346
316	0.2432	0.0584
317	0.1796	0.0486
318	0.1504	0.0464
319	0.0418	0.017
320	0.1376	0.0204
321	0.2148	0.054
322	0.0174	0
323	0.0786	0.0194
324	0.0348	0.0002
325	0.1116	0.0278
326	0.0466	0.0068
327	0.1496	0.0378
328	0.1014	0.0222
329	0.1036	0.0252
330	0.201	0.0506
331	0.1312	0.0324
332	0.1308	0.0302
333	0.0992	0.0248
334	0.0256	0.001
335	0.1122	0.0276
336	0.033	0.0004
337	0.1224	0.0292
338	0.058	0.0084
339	0.2832	0.0702
340	0.2286	0.0506
341	0.1842	0.0396
342	0.1218	0.0298
343	0.0804	0.0118
344	0.1804	0.0462
345	0.0874	0.0212
346	0.118	0.0288
347	0.0934	0.023
348	0.0632	0.0104
349	0.1196	0.03
350	0.0962	0.0188
351	0.147	0.0302
352	0.164	0.0414
353	0.0802	0.0166
354	0.2404	0.0604
355	0.1222	0.0236
356	0.2732	0.0688
357	0.0616	0.017
358	0.1556	0.0416
359	0.0228	0.0024
360	0.1182	0.0296
361	0.0476	0.004
362	0.1154	0.0286
363	0.0402	0
364	0.1194	0.03
365	0.0732	0.0104
366	0.1206	0.0298
367	0.0524	0.0102
368	0.1202	0.0298
369	0.0582	0.0106
370	0.1202	0.03
371	0.0612	0.0058
372	0.1188	0.0302
373	0.0066	0.0002
374	0.0944	0.0236
375	0.0034	0.0002
376	0.0032	0.0002
377	0.0028	0
378	0.0152	0.002
379	0.1296	0.0328
380	0.2682	0.0522
381	0.296	0.0682
382	0.1672	0.0392
383	0.1822	0.0394
384	0.1292	0.0326
385	0.0102	0.003
386	0.0094	0.0028
387	0.0584	0.0068
388	0.19	0.0478
389	0.0632	0.009
390	0.117	0.0294
391	0.034	0.0028
392	0.2176	0.0542
393	0.0144	0.0004
394	0.1026	0.0256
395	0.0012	0.0004
396	0.0028	0.0012
397	0.0534	0.0128
398	0.1142	0.0164
399	0.2002	0.05
400	0.049	0.0014
401	0.1192	0.0298
402	0.064	0.01
403	0.128	0.0318
404	0.0096	0.0024
405	0.17	0.0428
406	0.0406	0.0082
407	0.1884	0.0446
408	0.1008	0.0252
409	0.076	0.0114
410	0.1196	0.0296
411	0.001	0
412	0.0022	0.0006
413	0.0434	0.0106
414	0.0804	0.0134
415	0.1198	0.03
416	0.0112	0
417	0.1764	0.0442
418	0.0616	0.016
419	0.3464	0.0866
420	0.1982	0.0256
421	0.3516	0.088
422	0.0476	0.0102
423	0.0176	0.0042
424	0.0172	0.0042
425	0.0632	0.0146
426	0.0876	0.0222
427	0.109	0.0176
428	0.222	0.0544
429	0.1132	0.029
430	0.064	0.0148
431	0.1416	0.0412
432	0.0952	0.0332
433	0.0852	0.021
434	0.083	0.0274
435	0.1338	0.035
436	0.1576	0.05
437	0.0002	0.0034
438	0.0008	0.0012
439	0.0448	0.0094
440	0.1646	0.0436
441	0.0068	0.009
442	0.0996	0.0256
443	0.0008	0
444	0.0164	0.0002
445	0.0984	0.0248
446	0.0786	0.0146
447	0.2096	0.0512
448	0.1148	0.0234
449	0.1198	0.026
450	0.1186	0.023
451	0.2324	0.0586
452	0.0964	0.0174
453	0.2392	0.0602
454	0.091	0.0192
455	0.3226	0.077
456	0.1282	0.0242
457	0.1888	0.0456
458	0.1158	0.028
459	0.237	0.049
460	0.1742	0.0374
461	0.1934	0.0396
462	0.0862	0.0214
463	0.045	0
464	0.2548	0.0634
465	0.1102	0.0046
466	0.3062	0.0768
467	0.0308	0.0002
468	0.1496	0.0372
469	0.0722	0.0112
470	0.1896	0.0468
471	0.0484	0.0114
472	0.0948	0.0164
473	0.1234	0.0288
474	0.1006	0.0226
475	0.1776	0.0394
476	0.217	0.0464
477	0.1236	0.0404
478	0.093	0.0324
479	0.0526	0.0146
480	0.2034	0.0518
481	0.0632	0.01
482	0.1964	0.0494
483	0.0828	0.0148
484	0.2048	0.0544
485	0.0502	0.0102
486	0.1182	0.0294
487	0.0024	0.0012
488	0.003	0.0014
489	0.005	0.0016
490	0.0432	0.0106
491	0.1424	0.0182
492	0.2872	0.0652
493	0.1634	0.0422
494	0.1994	0.0522
495	0.0314	0.0002
496	0.1216	0.03
497	0.1278	0.0218
498	0.1056	0.0266
499	0.0016	0.0004
500	0.0012	0
501	0.0752	0.0136
502	0.199	0.0488
503	0.1254	0.0268
504	0.1872	0.0446
505	0.1164	0.0304
506	0.05	0.0132
507	0.17	0.0372
508	0.1152	0.0344
509	0.1354	0.0338
510	0.0942	0.0284
511	0.1172	0.0296
512	0.0622	0.0064
513	0.1692	0.0456
514	0.1884	0.0482
515	0.0962	0.0242
516	0.2828	0.0744
517	0.0124	0.012
518	0.0024	0.0002
519	0.0248	0.0004
520	0.0864	0.0188
521	0.1068	0.0172
522	0.1478	0.0376
523	0.1034	0.0244
524	0.2152	0.067
525	0.1802	0.041
526	0.151	0.0324
527	0.1064	0.0268
528	0.043	0.001
529	0.2004	0.0542
530	0.0006	0.0006
531	0.0004	0.0008
532	0.0008	0.0004
533	0.0002	0
534	0.0008	0
535	0.0008	0.0002
536	0.0028	0.0004
537	0.0442	0.0112
538	0.1398	0.039
539	0.208	0.0518
540	0.2062	0.052
541	0.1632	0.042
542	0.017	0.0074
543	0.0086	0.0014
544	0.007	0.002
545	0.0412	0.0018
546	0.101	0.0248
547	0.0824	0.0114
548	0.2198	0.0536
549	0.1806	0.0494
550	0.2406	0.0496
551	0.1646	0.0546
552	0.0304	0.0162
553	0.1494	0.0464
554	0.087	0.0158
555	0.1704	0.0382
556	0.1022	0.0258
557	0.0378	0.0098
558	0.1028	0.0236
559	0.1592	0.0356
560	0.1448	0.0278
561	0.1184	0.0298
562	0.0598	0.0104
563	0.1004	0.0238
564	0.1204	0.0226
565	0.119	0.0296
566	0.0518	0.001
567	0.1436	0.0314
568	0.1806	0.0396
569	0.1624	0.0292
570	0.1412	0.0344
571	0.0516	0.0064
572	0.1646	0.031
573	0.108	0.0274
574	0.0272	0
575	0.1452	0.036
576	0.0962	0.013
577	0.2846	0.0692
578	0.1496	0.0378
579	0.272	0.0678
580	0.1024	0.0174
581	0.1224	0.0352
582	0.102	0.0278
583	0.08	0.021
584	0.1432	0.0362
585	0.1066	0.022
586	0.1198	0.0302
587	0.1186	0.0208
588	0.1034	0.0262
589	0.027	0
590	0.1324	0.0328
591	0.1162	0.0248
592	0.283	0.0658
593	0.2076	0.0434
594	0.37	0.0864
595	0.237	0.0534
596	0.2406	0.0506
597	0.204	0.0512
598	0.0112	0
599	0.1138	0.0286
600	0.0144	0
601	0.093	0.0236
602	0.0356	0
603	0.1018	0.0254
604	0.0012	0.0002
605	0.002	0
606	0.0826	0.021
607	0.0484	0.0082
608	0.12	0.0304
609	0.025	0.0048
610	0.0844	0.0172
611	0.2024	0.0508
612	0.052	0.026
613	0.1756	0.0476
614	0.1488	0.0272
615	0.3026	0.0752
616	0.0926	0.0156
617	0.174	0.0382
618	0.16	0.0368
619	0.092	0.0228
620	0.012	0
621	0.075	0.0144
622	0.1366	0.0352
623	0.112	0.0208
624	0.1404	0.0294
625	0.1622	0.03
626	0.1382	0.03
627	0.2108	0.0506
628	0.21	0.043
629	0.178	0.0448
630	0.0428	0.0096
631	0.0802	0.0208
632	0.001	0
633	0.0176	0.0046
634	0.05	0.013
635	0.1754	0.044
636	0.0598	0.0058
637	0.1196	0.0296
638	0.017	0.0056
639	0.087	0.015
640	0.1376	0.0342
641	0.1518	0.029
642	0.2258	0.0568
643	0.0626	0.0126
644	0.1864	0.046
645	0.0516	0.003
646	0.173	0.0438
647	0.171	0.0514
648	0.1588	0.0416
649	0.1126	0.0338
650	0.0206	0.0048
651	0.0908	0.0226
652	0.1206	0.0286
653	0.0866	0.0238
654	0.066	0.007
655	0.1354	0.0336
656	0.088	0.0208
657	0.3448	0.0738
658	0.2566	0.0614
659	0.1976	0.0498
660	0.0354	0.0002
661	0.1188	0.0296
662	0.0182	0.0004
663	0.0932	0.0236
664	0.0008	0.0004
665	0.0006	0.0002
666	0.0196	0.0048
667	0.0704	0.0168
668	0.1138	0.0294
669	0.1688	0.0402
670	0.2446	0.0572
671	0.215	0.041
672	0.2498	0.065
673	0.066	0.0138
674	0.146	0.0426
675	0.0244	0.0112
676	0.0196	0.0098
677	0.0006	0.0002
678	0.0008	0.0002
679	0.001	0
680	0.0256	0.0064
681	0.0032	0.0064
682	0.084	0.0208
683	0.0316	0.0064
684	0.1746	0.043
685	0.2562	0.0504
686	0.2182	0.0574
687	0.0298	0.0154
688	0.0886	0.0278
689	0.0872	0.0236
690	0.0422	0.0042
691	0.1354	0.0386
692	0.113	0.025
693	0.144	0.036
694	0.0226	0.0062
695	0.0284	0.0074
696	0.1162	0.0254
697	0.0596	0.0148
698	0.076	0.0112
699	0.1478	0.0358
700	0.1256	0.0304
701	0.0068	0.0102
702	0.007	0.0048
703	0.0782	0.0148
704	0.141	0.0392
705	0.0962	0.026
706	0.0162	0.0046
707	0.0082	0.005
708	0.0186	0.005
709	0.0826	0.0232
710	0.0008	0.0004
711	0.0008	0
712	0.0452	0.0018
713	0.1348	0.0322
714	0.0936	0.022
715	0.0396	0.0104
716	0.1076	0.0266
717	0.0442	0.01
718	0.1396	0.027
719	0.171	0.0432
720	0.0954	0.0338
721	0.0278	0.0098
722	0.1284	0.0302
723	0.1852	0.044
724	0.208	0.04
