#Exponential Decay
#TE=5,	TI=7,	cmax=1,	eta=0.001
#t,	NE,	NI
272	0.0038	0.0012
273	0.002	0.0012
274	0.0006	0.001
275	0.0012	0.0004
276	0.0016	0.001
277	0.0036	0.001
278	0.0286	0.0076
279	0.168	0.0468
280	0.222	0.0534
281	0.3132	0.0738
282	0.2752	0.0684
283	0.1598	0.0386
284	0.0876	0.022
285	0.0464	0.0092
286	0.0198	0.0034
287	0.0104	0.0022
288	0.006	0.0008
289	0.0022	0.0006
290	0.0058	0.001
291	0.0082	0.0018
292	0.0394	0.0124
293	0.1458	0.0392
294	0.1822	0.0486
295	0.2338	0.058
296	0.2288	0.0564
297	0.141	0.0384
298	0.0712	0.019
299	0.0352	0.009
300	0.0168	0.0042
301	0.0076	0.002
302	0.0044	0.0008
303	0.0026	0.0006
304	0.007	0.0008
305	0.0216	0.0036
306	0.1726	0.0448
307	0.2722	0.0646
308	0.3326	0.0798
309	0.2272	0.0562
310	0.1384	0.0316
311	0.0738	0.019
312	0.0334	0.0068
313	0.0114	0.0028
314	0.0052	0.0008
315	0.0026	0.0012
316	0.001	0.0002
317	0.0018	0.0008
318	0.0032	0.002
319	0.0262	0.007
320	0.2124	0.0544
321	0.2918	0.0704
322	0.3214	0.0764
323	0.25	0.0622
324	0.1352	0.0336
325	0.0696	0.0158
326	0.0266	0.0068
327	0.0102	0.0026
328	0.0046	0.0012
329	0.0018	0.0008
330	0.0014	0.0006
331	0.0028	0.0008
332	0.0074	0.0016
333	0.0642	0.0186
334	0.1936	0.0468
335	0.3014	0.0772
336	0.2822	0.0706
337	0.186	0.0472
338	0.1072	0.0266
339	0.0532	0.0132
340	0.0222	0.005
341	0.008	0.0022
342	0.0042	0.001
343	0.0022	0.0002
344	0.002	0.0008
345	0.0028	0.0008
346	0.01	0.0016
347	0.2544	0.0612
348	0.4092	0.1044
349	0.262	0.0634
350	0.1868	0.0466
351	0.0882	0.024
352	0.0328	0.009
353	0.0132	0.0024
