#Exponential Decay
#TE=5,	TI=7,	cmax=1,	eta=0.001
#t,	NE,	NI
3363	0.1374	0.0364
3364	0.0658	0.0164
3365	0.0266	0.0048
3366	0.009	0.002
3367	0.003	0.001
3368	0.0026	0.001
3369	0.0014	0.0008
3370	0.003	0.001
3371	0.012	0.003
3372	0.1436	0.0376
3373	0.2784	0.072
3374	0.2652	0.0644
3375	0.2422	0.0586
3376	0.1654	0.0384
3377	0.0858	0.0222
3378	0.0414	0.0106
3379	0.0172	0.0034
3380	0.0058	0.0012
3381	0.0026	0.0002
3382	0.0018	0
3383	0.0026	0.0008
3384	0.0178	0.0032
3385	0.181	0.0426
3386	0.4084	0.106
3387	0.369	0.0878
3388	0.2514	0.0616
3389	0.1258	0.0312
3390	0.0618	0.0124
3391	0.0308	0.0056
3392	0.0088	0.0022
3393	0.0034	0.0008
3394	0.0016	0.0004
3395	0.0012	0.0006
3396	0.0016	0
3397	0.0052	0.0002
3398	0.0818	0.0188
3399	0.4058	0.0992
3400	0.369	0.093
3401	0.2808	0.0694
3402	0.1734	0.043
3403	0.0804	0.0196
3404	0.0344	0.0088
3405	0.0118	0.0028
3406	0.0048	0.0016
3407	0.0018	0.0008
3408	0.0006	0.0006
3409	0.0012	0.0004
3410	0.006	0.002
3411	0.0512	0.012
3412	0.3054	0.0806
3413	0.2566	0.061
3414	0.2514	0.0616
3415	0.1726	0.0406
3416	0.0874	0.0216
3417	0.0436	0.0108
3418	0.0168	0.0056
3419	0.0068	0.0018
3420	0.0016	0
3421	0.0012	0
3422	0.0008	0.0006
3423	0.0106	0.0028
3424	0.085	0.021
3425	0.3146	0.0794
3426	0.3134	0.0764
3427	0.296	0.0724
3428	0.2238	0.0542
3429	0.1138	0.0284
3430	0.052	0.013
3431	0.023	0.0054
3432	0.0086	0.0016
3433	0.0044	0.0006
3434	0.001	0.0004
3435	0.0018	0.0002
3436	0.0104	0.0034
3437	0.0582	0.013
3438	0.324	0.0778
3439	0.4318	0.1086
3440	0.292	0.0762
3441	0.1716	0.0458
3442	0.082	0.0208
3443	0.0338	0.0074
3444	0.014	0.0026
3445	0.0036	0.001
3446	0.0022	0.0004
3447	0.002	0.0006
3448	0.0006	0.0004
3449	0.0016	0.001
3450	0.005	0.0008
3451	0.0946	0.0232
3452	0.327	0.0794
3453	0.4082	0.0966
3454	0.4224	0.1064
3455	0.2096	0.053
3456	0.1124	0.0278
3457	0.0468	0.011
3458	0.0198	0.0042
3459	0.007	0.0024
3460	0.003	0.001
3461	0.0016	0.0002
3462	0.001	0.0004
3463	0.0026	0.0004
3464	0.003	0.001
3465	0.02	0.0076
3466	0.1036	0.0226
3467	0.3748	0.0928
3468	0.3348	0.0776
3469	0.2202	0.0546
3470	0.134	0.0356
3471	0.0674	0.0146
3472	0.027	0.0054
3473	0.0132	0.0014
3474	0.0048	0.0008
3475	0.0026	0.0008
3476	0.002	0.0006
3477	0.0012	0
3478	0.005	0.0012
3479	0.0532	0.013
3480	0.301	0.082
3481	0.234	0.0576
3482	0.2514	0.063
3483	0.144	0.0304
3484	0.0728	0.0166
3485	0.0334	0.007
3486	0.016	0.0038
3487	0.008	0.0014
3488	0.0038	0.001
3489	0.002	0.0004
3490	0.0018	0.0002
3491	0.015	0.0038
3492	0.1326	0.0346
3493	0.3206	0.0858
3494	0.2574	0.0656
3495	0.2156	0.0562
3496	0.15	0.0374
3497	0.0736	0.018
3498	0.0344	0.009
3499	0.0138	0.005
3500	0.0062	0.0018
3501	0.003	0.0004
3502	0.0012	0.0004
3503	0.0018	0.0006
3504	0.0214	0.0058
3505	0.1722	0.042
3506	0.3604	0.0918
3507	0.333	0.0838
3508	0.229	0.0588
3509	0.1334	0.0348
3510	0.0692	0.0144
3511	0.0276	0.007
3512	0.0118	0.0028
3513	0.004	0.0008
3514	0.0018	0.0002
3515	0.0016	0.0006
3516	0.0016	0.0004
3517	0.0098	0.0018
3518	0.1558	0.04
3519	0.3214	0.0776
3520	0.349	0.0868
3521	0.2224	0.0532
3522	0.1258	0.032
3523	0.0584	0.0138
3524	0.0264	0.006
3525	0.0096	0.002
3526	0.0046	0.0008
3527	0.0022	0.0012
3528	0.0016	0.0004
3529	0.0016	0.0004
3530	0.0068	0.0018
3531	0.0566	0.0168
3532	0.181	0.0386
3533	0.4502	0.11
3534	0.3828	0.0996
3535	0.2324	0.0592
3536	0.1228	0.0314
3537	0.0582	0.0128
3538	0.0216	0.0046
3539	0.008	0.0018
3540	0.004	0.0008
3541	0.0022	0.0004
3542	0.0016	0.0004
3543	0.0008	0.0004
3544	0.003	0.0014
3545	0.015	0.0032
3546	0.2536	0.0624
3547	0.3874	0.0958
3548	0.2894	0.0748
3549	0.1654	0.0402
3550	0.0926	0.0234
3551	0.04	0.0102
3552	0.0166	0.0038
3553	0.0068	0.0018
3554	0.002	0.0006
3555	0.001	0.0004
3556	0.0004	0.0002
3557	0.001	0.0004
3558	0.0076	0.002
3559	0.153	0.0396
3560	0.3044	0.074
3561	0.2986	0.0684
3562	0.2872	0.0694
3563	0.1336	0.0338
3564	0.0628	0.0162
3565	0.0274	0.0066
3566	0.0134	0.002
3567	0.0048	0.0008
3568	0.0026	0.0008
3569	0.001	0.0002
3570	0.0014	0
3571	0.005	0.0014
3572	0.009	0.002
3573	0.1692	0.046
3574	0.2192	0.057
3575	0.2456	0.062
3576	0.1868	0.0472
3577	0.1086	0.0262
3578	0.0508	0.0122
3579	0.0252	0.0058
3580	0.0116	0.0028
3581	0.0042	0.0004
3582	0.0012	0.0002
3583	0.0012	0.0004
3584	0.0026	0.0006
3585	0.008	0.0012
3586	0.0622	0.014
3587	0.3636	0.0944
3588	0.2878	0.074
3589	0.1718	0.0424
3590	0.093	0.0216
3591	0.044	0.0098
3592	0.0176	0.0044
3593	0.006	0.0014
3594	0.0032	0.0004
3595	0.0028	0
3596	0.001	0
3597	0.0006	0
3598	0.0032	0.0002
3599	0.0188	0.0062
3600	0.1534	0.0336
3601	0.47	0.1144
3602	0.3898	0.096
3603	0.2682	0.0684
3604	0.1484	0.0358
3605	0.0692	0.0138
3606	0.0298	0.006
3607	0.0108	0.0026
3608	0.0028	0.0008
3609	0.0012	0.0002
3610	0.0014	0.0006
3611	0.0006	0.0002
3612	0.003	0.0012
3613	0.0036	0.0008
3614	0.0508	0.0142
3615	0.2266	0.0582
3616	0.3214	0.0862
3617	0.1888	0.0538
3618	0.1064	0.0276
3619	0.058	0.015
3620	0.03	0.0076
3621	0.0126	0.0036
3622	0.0054	0.0008
3623	0.0018	0.0006
3624	0.0014	0.0004
3625	0.0016	0.0002
3626	0.0018	0
3627	0.0102	0.0036
3628	0.1374	0.034
3629	0.3618	0.0922
3630	0.3192	0.076
3631	0.3404	0.0826
3632	0.2306	0.054
3633	0.137	0.0334
3634	0.0644	0.0146
3635	0.0288	0.0054
3636	0.0108	0.003
3637	0.0046	0.0012
3638	0.0018	0.0004
3639	0.002	0.0002
3640	0.0264	0.0072
3641	0.1506	0.047
3642	0.1036	0.0248
3643	0.1188	0.0308
3644	0.116	0.03
3645	0.109	0.028
3646	0.063	0.0166
3647	0.037	0.011
3648	0.0182	0.0046
3649	0.0082	0.0012
3650	0.0038	0.0008
3651	0.0032	0.0006
3652	0.0286	0.0056
3653	0.1	0.0266
3654	0.2036	0.048
3655	0.346	0.0882
3656	0.281	0.0712
3657	0.2048	0.054
3658	0.1306	0.0348
3659	0.0666	0.0168
3660	0.0256	0.0062
3661	0.0116	0.0028
3662	0.0036	0.0008
3663	0.0024	0.0004
3664	0.0028	0.0004
3665	0.0028	0.0006
3666	0.0226	0.0062
3667	0.1798	0.0436
3668	0.3778	0.0942
3669	0.2844	0.0678
3670	0.1916	0.0446
3671	0.0864	0.0174
3672	0.039	0.0076
3673	0.016	0.0042
3674	0.006	0.0016
3675	0.0028	0.0006
3676	0.0016	0.0006
3677	0.0014	0
3678	0.0004	0.0002
3679	0.0034	0.001
3680	0.015	0.0048
3681	0.1374	0.0344
3682	0.3126	0.0778
3683	0.3058	0.075
3684	0.2756	0.068
3685	0.1492	0.0398
3686	0.0758	0.0184
3687	0.0336	0.0088
3688	0.0146	0.0042
3689	0.0052	0.0014
3690	0.0018	0.0012
3691	0.002	0.0006
3692	0.0014	0.0006
3693	0.0064	0.0016
3694	0.0356	0.0104
3695	0.212	0.0508
3696	0.3824	0.0922
3697	0.3584	0.0938
3698	0.218	0.056
3699	0.1154	0.0298
3700	0.054	0.013
3701	0.0206	0.0042
3702	0.0078	0.0022
3703	0.0032	0.0008
3704	0.0014	0.0002
3705	0.0016	0
3706	0.0006	0.0004
3707	0.0032	0.0014
3708	0.0066	0.0012
3709	0.116	0.0298
3710	0.2872	0.0712
3711	0.3462	0.0866
3712	0.2492	0.059
3713	0.1454	0.0342
3714	0.076	0.0192
3715	0.035	0.009
3716	0.0134	0.003
3717	0.007	0.001
3718	0.001	0.0004
3719	0.002	0
3720	0.001	0.0004
3721	0.0034	0.0008
3722	0.0224	0.0034
3723	0.4504	0.1122
3724	0.3468	0.0868
3725	0.2596	0.0628
3726	0.1308	0.0294
3727	0.0566	0.0152
3728	0.0256	0.0056
3729	0.009	0.002
3730	0.0034	0.0004
3731	0.0012	0.0002
3732	0.001	0
3733	0.002	0
3734	0.0018	0.0016
3735	0.0032	0.001
3736	0.0312	0.0092
3737	0.1802	0.054
3738	0.1536	0.0372
3739	0.1984	0.0538
3740	0.0974	0.0226
3741	0.0356	0.009
3742	0.0156	0.0044
3743	0.007	0.0026
3744	0.0036	0.0012
3745	0.0026	0.0006
3746	0.0014	0
3747	0.0012	0.0004
3748	0.0024	0.0014
3749	0.0044	0.001
3750	0.0574	0.0162
3751	0.2306	0.0582
3752	0.317	0.0788
3753	0.2824	0.073
3754	0.1636	0.0414
3755	0.0994	0.0226
3756	0.0478	0.0098
3757	0.0208	0.0036
3758	0.007	0.0018
3759	0.0032	0.0006
3760	0.0018	0.0008
3761	0.001	0.0002
3762	0.0028	0.0002
3763	0.0092	0.002
3764	0.1686	0.0446
3765	0.262	0.0646
3766	0.3566	0.0858
3767	0.3128	0.0796
3768	0.174	0.0384
3769	0.0872	0.0188
3770	0.0426	0.009
3771	0.0194	0.005
3772	0.0076	0.0018
3773	0.0028	0.0006
3774	0.0014	0.0006
3775	0.0016	0.0004
3776	0.0058	0.001
3777	0.0446	0.0092
3778	0.4518	0.1098
3779	0.44	0.107
3780	0.3378	0.0822
3781	0.1988	0.0496
3782	0.1054	0.0274
3783	0.0468	0.0118
3784	0.0164	0.0056
3785	0.0056	0.0018
3786	0.0026	0.001
3787	0.0018	0.001
3788	0.001	0.0002
3789	0.0042	0.0022
3790	0.0226	0.0056
3791	0.196	0.0534
3792	0.247	0.0608
3793	0.3384	0.0802
3794	0.2854	0.0722
3795	0.1308	0.0314
3796	0.0622	0.015
3797	0.0274	0.0074
3798	0.014	0.0024
3799	0.0066	0.0004
3800	0.003	0.0004
3801	0.0006	0
3802	0.0026	0.0006
3803	0.0028	0.001
3804	0.0036	0.0014
3805	0.0414	0.0106
3806	0.2432	0.0616
3807	0.3206	0.0784
3808	0.3106	0.0764
3809	0.2206	0.0544
3810	0.1276	0.0294
3811	0.0644	0.0114
3812	0.0316	0.0056
3813	0.0114	0.0014
3814	0.0038	0.0008
3815	0.0022	0.0004
3816	0.001	0.0002
3817	0.0028	0
3818	0.0116	0.0032
3819	0.1332	0.0352
3820	0.2268	0.0576
3821	0.2488	0.058
3822	0.3498	0.084
3823	0.261	0.0624
3824	0.1934	0.0472
3825	0.1122	0.0236
3826	0.0484	0.0108
3827	0.025	0.004
3828	0.0092	0.0018
3829	0.0046	0.0008
3830	0.0076	0.0006
3831	0.032	0.0086
3832	0.0448	0.0098
3833	0.2386	0.0616
3834	0.2274	0.0556
3835	0.2524	0.064
3836	0.1622	0.0444
3837	0.0788	0.0236
3838	0.0364	0.0092
3839	0.0158	0.0056
3840	0.0066	0.0014
3841	0.0026	0.0008
3842	0.001	0
3843	0.0012	0.0004
3844	0.0056	0.0018
3845	0.0108	0.0024
3846	0.1706	0.0436
3847	0.3202	0.0786
3848	0.3686	0.0906
3849	0.2216	0.0528
3850	0.1444	0.0348
3851	0.0696	0.0198
3852	0.028	0.0082
3853	0.0128	0.0032
3854	0.0044	0.0012
3855	0.0018	0.0006
3856	0.0014	0
3857	0.0018	0.0004
3858	0.0042	0.0014
3859	0.0926	0.0172
3860	0.5872	0.1516
3861	0.2502	0.062
3862	0.1778	0.0444
3863	0.0904	0.022
3864	0.036	0.0084
3865	0.013	0.0034
3866	0.0046	0.0006
3867	0.0018	0.0002
3868	0.001	0.0002
3869	0.0012	0.0002
3870	0.0004	0
3871	0.011	0.0018
3872	0.2342	0.063
3873	0.2476	0.0582
3874	0.2548	0.0624
3875	0.1938	0.0486
3876	0.1086	0.0248
3877	0.0588	0.0134
3878	0.0246	0.004
3879	0.01	0.0016
3880	0.0044	0.0012
3881	0.0018	0.0004
3882	0.0008	0.0004
3883	0.003	0.0008
3884	0.0116	0.0028
3885	0.1216	0.0318
3886	0.253	0.0636
3887	0.2674	0.0662
3888	0.212	0.054
3889	0.1376	0.0364
3890	0.0674	0.0202
3891	0.0344	0.0092
3892	0.0148	0.0032
3893	0.0062	0.001
3894	0.0024	0.0004
3895	0.001	0.0004
3896	0.0022	0.0006
3897	0.0064	0.0026
3898	0.048	0.0136
3899	0.222	0.0536
3900	0.4044	0.1068
3901	0.2366	0.0566
3902	0.182	0.041
3903	0.0952	0.0236
3904	0.045	0.0104
3905	0.0202	0.0054
3906	0.0084	0.002
3907	0.0036	0.0018
3908	0.0014	0.0008
3909	0.0016	0
3910	0.001	0.0002
3911	0.0152	0.002
3912	0.344	0.0816
3913	0.4814	0.1176
3914	0.3898	0.0974
3915	0.2782	0.0714
3916	0.1574	0.0374
3917	0.0748	0.019
3918	0.0304	0.0066
3919	0.009	0.0018
3920	0.0032	0.0008
3921	0.0012	0.0002
3922	0.0014	0.0004
3923	0.0016	0.0004
3924	0.0046	0.0014
3925	0.042	0.0102
3926	0.3058	0.0768
3927	0.3382	0.0796
3928	0.2954	0.0738
3929	0.1644	0.0406
3930	0.068	0.0166
3931	0.0312	0.0088
3932	0.0108	0.002
3933	0.0048	0.0008
3934	0.0024	0.0006
3935	0.001	0
3936	0.0006	0
3937	0.0032	0.0004
3938	0.0142	0.004
3939	0.2078	0.0472
3940	0.5058	0.1212
3941	0.4134	0.1052
3942	0.225	0.0542
3943	0.109	0.0264
3944	0.0492	0.0106
3945	0.0186	0.004
3946	0.0084	0.002
3947	0.0022	0.001
3948	0.002	0
3949	0.0006	0.0002
3950	0.0008	0.0004
3951	0.0016	0
3952	0.0036	0.0006
3953	0.0928	0.0212
3954	0.4184	0.1
3955	0.4736	0.1186
3956	0.3252	0.0798
3957	0.1852	0.0438
3958	0.0898	0.0228
3959	0.0392	0.0086
3960	0.0136	0.0044
3961	0.0044	0.0018
3962	0.0026	0.0004
3963	0.0008	0.0006
3964	0.0006	0.0002
3965	0.0008	0
3966	0.0012	0.0004
3967	0.0038	0.0008
3968	0.0652	0.015
3969	0.3656	0.0888
3970	0.4038	0.1024
3971	0.2874	0.0714
3972	0.1562	0.0388
3973	0.0758	0.0166
3974	0.034	0.0068
3975	0.012	0.0022
3976	0.0036	0.0004
3977	0.0012	0.0006
3978	0.0004	0
3979	0.0006	0.0002
3980	0.002	0.0004
3981	0.0054	0.0012
3982	0.1268	0.0304
3983	0.3748	0.0894
3984	0.4544	0.1114
3985	0.319	0.0768
3986	0.1914	0.0462
3987	0.0942	0.0228
3988	0.0428	0.0088
3989	0.015	0.0034
3990	0.006	0.0016
3991	0.0022	0.0008
3992	0.001	0.0008
3993	0.0018	0.0002
3994	0.002	0.0008
3995	0.0078	0.0022
3996	0.1242	0.032
3997	0.2908	0.073
3998	0.3172	0.0768
3999	0.2168	0.0562
4000	0.1366	0.0328
4001	0.069	0.0146
4002	0.0302	0.0062
4003	0.0122	0.0032
4004	0.0054	0.0016
4005	0.0018	0.001
4006	0.0004	0.0008
4007	0.0014	0.0004
4008	0.0032	0.001
4009	0.0048	0.001
4010	0.062	0.015
4011	0.2728	0.0694
4012	0.3142	0.081
4013	0.2192	0.0574
4014	0.1276	0.0322
4015	0.0596	0.0142
4016	0.0288	0.0064
4017	0.0134	0.004
4018	0.0048	0.0014
4019	0.0026	0.0004
4020	0.001	0.0002
4021	0.001	0.0004
4022	0.0024	0.0006
4023	0.0126	0.0038
4024	0.192	0.0432
4025	0.5052	0.123
4026	0.403	0.0942
4027	0.2564	0.0606
4028	0.1314	0.03
4029	0.0578	0.0122
4030	0.024	0.0054
4031	0.0082	0.0016
4032	0.0022	0.0012
4033	0.0012	0.0002
4034	0.0006	0.0004
4035	0.0014	0.0002
4036	0.005	0.0016
4037	0.0646	0.0172
4038	0.2472	0.0662
4039	0.2306	0.0564
4040	0.2958	0.0734
4041	0.2468	0.0644
4042	0.1276	0.0322
4043	0.0664	0.0154
4044	0.0292	0.0068
4045	0.012	0.0022
4046	0.0052	0.0016
4047	0.0026	0.0004
4048	0.002	0.0002
4049	0.0136	0.0028
4050	0.0546	0.0114
4051	0.2846	0.0624
4052	0.56	0.1374
4053	0.34	0.0836
4054	0.172	0.042
4055	0.085	0.0186
4056	0.0358	0.0064
4057	0.013	0.004
4058	0.0048	0.0018
4059	0.0016	0.001
4060	0.0006	0
4061	0.0008	0.0002
4062	0.0006	0
4063	0.0016	0.0004
4064	0.0034	0.0012
4065	0.044	0.0118
4066	0.2294	0.0552
4067	0.347	0.0888
4068	0.2772	0.0686
4069	0.1944	0.0458
4070	0.1072	0.0258
4071	0.0532	0.0106
4072	0.0228	0.0044
4073	0.0086	0.0016
4074	0.003	0.0006
4075	0.0022	0.0004
4076	0.0014	0.0002
4077	0.0024	0.0002
4078	0.0094	0.0018
4079	0.1508	0.0366
4080	0.3722	0.0908
4081	0.4158	0.1032
4082	0.343	0.082
4083	0.2134	0.0538
4084	0.1172	0.0294
4085	0.0564	0.0132
4086	0.0244	0.0044
4087	0.0088	0.001
4088	0.0036	0.0008
4089	0.0014	0.0008
4090	0.001	0.001
4091	0.0076	0.003
4092	0.0606	0.0152
4093	0.2706	0.0708
4094	0.2626	0.0658
4095	0.2116	0.0506
4096	0.1568	0.0382
4097	0.095	0.0232
4098	0.0494	0.0116
4099	0.0224	0.0058
4100	0.01	0.0022
4101	0.003	0.0012
4102	0.0006	0.0002
4103	0.0006	0.0004
4104	0.006	0.0018
4105	0.0468	0.0096
4106	0.3984	0.0986
4107	0.3922	0.0992
4108	0.2774	0.0692
4109	0.1776	0.0444
4110	0.085	0.0214
4111	0.0352	0.0092
4112	0.0152	0.0032
4113	0.0074	0.002
4114	0.0028	0.0006
4115	0.0008	0.0004
4116	0.001	0.0008
4117	0.0038	0.001
4118	0.0258	0.0066
4119	0.2426	0.0588
4120	0.394	0.0928
4121	0.3906	0.0968
4122	0.2372	0.0572
4123	0.1492	0.0352
4124	0.0698	0.014
4125	0.0294	0.0062
4126	0.0122	0.0022
4127	0.0048	0.0012
4128	0.0016	0.0004
4129	0.0012	0.0004
4130	0.002	0.0006
4131	0.0058	0.0018
4132	0.047	0.0128
4133	0.211	0.049
4134	0.435	0.1062
4135	0.3786	0.0936
4136	0.2328	0.0604
4137	0.1224	0.0326
4138	0.055	0.0136
4139	0.0246	0.0056
4140	0.0094	0.0022
4141	0.0034	0.0014
4142	0.0014	0.0004
4143	0.0014	0.0002
4144	0.0018	0.0008
4145	0.0102	0.0028
4146	0.1948	0.0526
4147	0.2188	0.0578
4148	0.1738	0.0478
4149	0.1156	0.0326
4150	0.057	0.016
4151	0.0266	0.0052
4152	0.0104	0.0026
4153	0.0062	0.0008
4154	0.0028	0.0004
4155	0.0018	0.0002
4156	0.0008	0.0002
4157	0.002	0.0004
4158	0.0108	0.0018
4159	0.255	0.0586
4160	0.4818	0.1234
4161	0.3154	0.075
4162	0.1946	0.0462
4163	0.0864	0.0194
4164	0.0382	0.01
4165	0.0156	0.0042
4166	0.0052	0.002
4167	0.002	0.0008
4168	0.001	0.0004
4169	0.0004	0
4170	0.0024	0.0004
4171	0.0052	0.0018
4172	0.0788	0.0206
4173	0.301	0.0748
4174	0.3004	0.0758
4175	0.2452	0.0612
4176	0.1672	0.0416
4177	0.0852	0.0198
4178	0.0416	0.009
4179	0.0176	0.0038
4180	0.0054	0.0022
4181	0.0022	0.001
4182	0.0012	0.0002
4183	0.0014	0
4184	0.009	0.0018
4185	0.0674	0.016
4186	0.364	0.0944
4187	0.3132	0.0778
4188	0.2452	0.0618
4189	0.119	0.0262
4190	0.0586	0.0112
4191	0.026	0.0052
4192	0.011	0.0024
4193	0.0042	0.0004
4194	0.0012	0.0006
4195	0.0008	0
4196	0.0008	0.0002
4197	0.0042	0.0012
4198	0.021	0.0042
4199	0.3312	0.0872
4200	0.275	0.062
4201	0.3394	0.0792
4202	0.2252	0.052
4203	0.1338	0.0306
4204	0.0668	0.0164
4205	0.0298	0.0078
4206	0.0098	0.002
4207	0.0042	0.0006
4208	0.0018	0.0004
4209	0.0014	0.0002
4210	0.0186	0.0046
4211	0.1016	0.027
4212	0.3022	0.0832
4213	0.1594	0.0408
4214	0.131	0.0324
4215	0.075	0.0172
4216	0.0362	0.0086
4217	0.0154	0.0042
4218	0.0072	0.0012
4219	0.0028	0
4220	0.0014	0.0002
4221	0.0014	0.0004
4222	0	0
4223	0.0244	0.005
4224	0.4022	0.098
4225	0.4274	0.1064
4226	0.3046	0.0752
4227	0.193	0.05
4228	0.0994	0.0246
4229	0.043	0.01
4230	0.0174	0.0028
4231	0.0072	0.0014
4232	0.0034	0.0006
4233	0.002	0.0008
4234	0.0022	0.0004
4235	0.0014	0.0004
4236	0.0088	0.0024
4237	0.1616	0.0438
4238	0.254	0.0626
4239	0.289	0.0734
4240	0.2738	0.067
4241	0.171	0.0404
4242	0.0864	0.0214
4243	0.039	0.0094
4244	0.0164	0.004
4245	0.0068	0.0022
4246	0.0026	0.0008
4247	0.0012	0.0004
4248	0.0018	0.0006
4249	0.0064	0.0018
4250	0.0152	0.0028
4251	0.2334	0.0614
4252	0.2686	0.0652
4253	0.2852	0.073
4254	0.1644	0.0398
4255	0.0956	0.0232
4256	0.0428	0.0084
4257	0.0172	0.0048
4258	0.0078	0.0018
4259	0.0022	0.0006
4260	0.0008	0.001
4261	0.0016	0.0004
4262	0.0022	0.001
4263	0.0052	0.0014
4264	0.0532	0.0116
4265	0.3318	0.087
4266	0.2442	0.0584
4267	0.302	0.075
4268	0.164	0.0366
4269	0.0936	0.0208
4270	0.0436	0.0098
4271	0.0192	0.0032
4272	0.0078	0.0018
4273	0.0026	0.0018
4274	0.001	0.001
4275	0.0012	0.0002
4276	0.0122	0.0028
4277	0.0278	0.006
4278	0.244	0.0668
4279	0.196	0.0512
4280	0.1806	0.0452
4281	0.1704	0.0398
4282	0.1232	0.0278
4283	0.0634	0.0146
4284	0.031	0.0082
4285	0.015	0.0044
4286	0.0064	0.0014
4287	0.0036	0.0012
4288	0.0022	0.0006
4289	0.0216	0.0046
4290	0.1456	0.0354
4291	0.3208	0.0838
4292	0.1968	0.0474
4293	0.2042	0.0494
4294	0.1192	0.0318
4295	0.0592	0.0146
4296	0.0276	0.0072
4297	0.0112	0.0028
4298	0.0046	0.001
4299	0.0034	0.0004
4300	0.0014	0.0002
4301	0.0008	0.0002
4302	0.0258	0.0066
4303	0.131	0.0352
4304	0.2354	0.0568
4305	0.3292	0.0836
4306	0.1946	0.0474
4307	0.1246	0.0302
4308	0.0678	0.0168
4309	0.029	0.0074
4310	0.0114	0.0028
4311	0.0052	0.001
4312	0.0016	0.0006
4313	0.0012	0.0006
4314	0.0012	0.0008
4315	0.0012	0.0004
4316	0.0062	0.0024
4317	0.0688	0.0186
4318	0.2368	0.0602
4319	0.3186	0.0802
4320	0.212	0.054
4321	0.1416	0.0338
4322	0.0802	0.0176
4323	0.0378	0.008
4324	0.016	0.0042
4325	0.0066	0.0016
4326	0.0038	0.001
4327	0.0028	0.0002
4328	0.002	0.0004
4329	0.0036	0.0006
4330	0.0394	0.0114
4331	0.1974	0.0462
4332	0.4142	0.096
4333	0.4368	0.107
4334	0.2882	0.0688
4335	0.1676	0.0376
4336	0.0824	0.0182
4337	0.039	0.0076
4338	0.0116	0.0028
4339	0.0042	0.0014
4340	0.0012	0.0004
4341	0.0008	0.0004
4342	0.0012	0.0002
4343	0.0034	0.0008
4344	0.0356	0.0078
4345	0.3548	0.0846
4346	0.4604	0.1142
4347	0.3558	0.0848
4348	0.2128	0.0544
4349	0.1094	0.0254
4350	0.045	0.0108
4351	0.02	0.0056
4352	0.0074	0.0024
4353	0.0022	0.001
4354	0.0008	0.0004
4355	0.0012	0.001
4356	0.002	0.0002
4357	0.0064	0.0008
4358	0.172	0.0428
4359	0.3636	0.0888
4360	0.4002	0.096
4361	0.2466	0.0632
4362	0.1428	0.0364
4363	0.0708	0.0156
4364	0.0294	0.006
4365	0.01	0.0022
4366	0.0032	0.0008
4367	0.001	0.0008
4368	0.0008	0.0002
4369	0.0008	0.0004
4370	0.003	0.0012
4371	0.0116	0.003
4372	0.1728	0.0386
4373	0.4864	0.1186
4374	0.3886	0.0942
4375	0.2356	0.059
4376	0.1322	0.0306
4377	0.0662	0.0144
4378	0.0276	0.0064
4379	0.01	0.0026
4380	0.003	0.0016
4381	0.0034	0.0004
4382	0.0014	0
4383	0.0012	0
4384	0.0042	0.0006
4385	0.059	0.0162
4386	0.241	0.0608
4387	0.3276	0.0848
4388	0.177	0.0412
4389	0.1088	0.0258
4390	0.0536	0.013
4391	0.0252	0.005
4392	0.0104	0.0018
4393	0.005	0.0006
4394	0.0022	0.0002
4395	0.0004	0.0004
4396	0.001	0.0004
4397	0.0016	0.001
4398	0.0084	0.0044
4399	0.0502	0.0132
4400	0.1686	0.0428
4401	0.265	0.0688
4402	0.2188	0.0548
4403	0.1898	0.0488
4404	0.1448	0.039
4405	0.0738	0.0204
4406	0.0386	0.0086
4407	0.016	0.0042
4408	0.0082	0.0014
4409	0.0046	0.0012
4410	0.0026	0.0002
4411	0.0038	0.001
4412	0.0308	0.0064
4413	0.3026	0.0726
4414	0.4156	0.1024
4415	0.3428	0.0812
4416	0.2576	0.062
4417	0.1384	0.0308
4418	0.0666	0.0144
4419	0.026	0.0052
4420	0.0096	0.0022
4421	0.0042	0.001
4422	0.0018	0.0006
4423	0.0004	0
4424	0.0022	0.0006
4425	0.0156	0.0038
4426	0.1614	0.0428
4427	0.2858	0.0716
4428	0.361	0.0932
4429	0.2394	0.0612
4430	0.1516	0.0412
4431	0.0794	0.0192
4432	0.0366	0.0076
4433	0.0168	0.0036
4434	0.0066	0.0012
4435	0.0018	0.0008
4436	0.0008	0
4437	0.0016	0.0002
4438	0.0028	0.0014
4439	0.0098	0.0032
4440	0.1068	0.0286
4441	0.2336	0.0576
4442	0.3006	0.0744
4443	0.2122	0.0524
4444	0.1852	0.0452
4445	0.1116	0.0298
4446	0.0608	0.0146
4447	0.0298	0.007
4448	0.0128	0.0022
4449	0.0052	0.0014
4450	0.0028	0.0004
4451	0.0038	0.0002
4452	0.0152	0.0024
4453	0.2392	0.0572
4454	0.3786	0.0878
4455	0.363	0.0896
4456	0.2204	0.0564
4457	0.1118	0.0272
4458	0.0548	0.012
4459	0.022	0.0046
4460	0.0092	0.003
4461	0.0028	0.0006
4462	0.0008	0.0006
4463	0.0008	0.0002
4464	0.0024	0.0002
4465	0.0068	0.0024
4466	0.1042	0.0278
4467	0.2602	0.0676
4468	0.2924	0.0774
4469	0.2344	0.0584
4470	0.1494	0.0392
4471	0.0832	0.023
4472	0.0418	0.0092
4473	0.0176	0.0048
4474	0.008	0.0018
4475	0.0042	0.0006
